#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
1.0%	500	-256115.19094452262	-229614.06600904357	185.24636348359434	0	--
2.0%	1000	-243575.38277755858	-208171.92706614014	247.47483139904696	17.6	8:01
3.0%	1500	-236095.19947507215	-197773.91836594956	267.8708163061304	17.4	8:00
4.0%	2000	-231185.85242127278	-190792.9657514806	282.3516127863081	17.4	7:55
5.0%	2500	-229445.82090515253	-187762.30068861766	291.37331174082817	17.4	7:51
6.0%	3000	-227980.18648217196	-185492.83868175175	296.9921727191866	17.4	7:46
7.0%	3500	-227449.5911352765	-185163.47031715693	295.5855695354831	17.4	7:41
8.0%	4000	-227095.2227360798	-184696.32461401782	296.3738977853092	17.4	7:37
9.0%	4500	-226519.45289515128	-183266.5008204487	302.34384771500646	17.4	7:32
10.0%	5000	-226184.30616348182	-183220.99595953533	300.31921278344106	17.4	7:27
11.0%	5500	-226284.7360515323	-183160.8760268286	301.4414772354456	17.3	7:23
12.0%	6000	-226378.53007797984	-183427.20047066803	300.23546683060556	17.3	7:18
13.0%	6500	-226888.66710114444	-184257.71462514318	297.9959883683485	17.3	7:13
14.0%	7000	-226165.25589962042	-183479.04360321554	298.38226181151185	17.3	7:08
15.0%	7500	-226726.94203587424	-183360.70267795783	303.13574078729664	17.3	7:04
16.0%	8000	-226717.8548170344	-183502.82624712941	302.07875740765485	17.3	6:59
17.0%	8500	-226510.91054148518	-183883.5985483629	297.97054091220093	17.3	6:54
18.0%	9000	-226330.24118965864	-183659.2664456293	298.2757493078791	17.3	6:49
19.0%	9500	-226319.6997567285	-183457.3917365552	299.61319417881816	17.3	6:45
20.0%	10000	-226806.47237493156	-183507.95153068067	302.66237943272785	17.3	6:40
21.0%	10500	-225350.6054718819	-182335.33972046408	300.6823889223898	17.3	6:35
22.0%	11000	-225851.86323663066	-183317.3037104513	297.32218891781815	17.3	6:30
23.0%	11500	-226461.55102235975	-183431.4255318021	300.7862604616045	17.2	6:25
24.0%	12000	-226841.6783645196	-183837.5546333954	300.6045047289347	17.2	6:20
25.0%	12500	-226273.47089889037	-183549.48853441645	298.64627957586526	17.2	6:15
26.0%	13000	-226067.7795541707	-183063.93960853197	300.60252103090977	17.2	6:10
27.0%	13500	-227010.11429477792	-185182.28755483107	292.3820333990263	17.2	6:05
28.0%	14000	-226946.47908514302	-184720.30478042463	295.1665354892631	17.2	6:00
29.0%	14500	-226376.9142108583	-183145.48687436996	302.19338695196967	17.2	5:55
30.0%	15000	-226451.3384406319	-183384.25267739236	301.0446176492465	17.3	5:50
31.0%	15500	-225984.73696128099	-182966.86390584358	300.7006143218512	17.3	5:45
32.0%	16000	-226533.21190729327	-183630.67489169782	299.8944001701373	17.3	5:40
33.0%	16500	-226482.38029070257	-183737.5684209891	298.7918805685849	17.3	5:35
34.0%	17000	-226745.96441355624	-183301.7654317164	303.68068885518153	17.3	5:30
35.0%	17500	-225935.32512032415	-182923.2847966879	300.65984275619246	17.3	5:25
36.0%	18000	-226247.39388888562	-183341.3594975605	299.91884728840984	17.3	5:20
37.0%	18500	-225707.39621041945	-182803.08020923348	299.9068355143777	17.3	5:15
38.0%	19000	-225904.17588366216	-183101.9929381234	299.19291196599323	17.3	5:10
39.0%	19500	-225905.88140018316	-183203.61000348692	298.4945170435834	17.3	5:05
40.0%	20000	-225945.06216387294	-182761.39236569343	301.8595554515268	17.3	5:00
41.0%	20500	-226688.1924749553	-183913.72002030085	298.9992119747984	17.3	4:54
42.0%	21000	-226180.51278762863	-183142.24296282587	300.84319043365554	17.3	4:49
43.0%	21500	-225888.37859119917	-183196.3541370913	298.42288956150725	17.3	4:44
44.0%	22000	-226213.5800297723	-183547.79416722682	298.2394783409759	17.3	4:39
45.0%	22500	-227018.2915568515	-183917.92846320453	301.2772305839589	17.3	4:34
46.0%	23000	-225679.94026162176	-182787.25174462298	299.8255578641881	17.4	4:28
47.0%	23500	-226361.92314820646	-183374.71016473492	300.4862963693247	17.4	4:23
48.0%	24000	-226566.78672575002	-183964.33730710906	297.79674823280664	17.4	4:18
49.0%	24500	-226190.21362779906	-183378.5614660753	299.2591030377907	17.4	4:13
50.0%	25000	-226099.95905973244	-183217.26206241242	299.7557158219853	17.4	4:08
51.0%	25500	-226667.00221856704	-183901.3860100926	298.93730564429507	17.4	4:03
52.0%	26000	-226443.36519858928	-183906.4306986014	297.3387902984185	17.4	3:58
53.0%	26500	-226564.8550299377	-183613.52804280503	300.2354485152073	17.4	3:53
54.0%	27000	-226498.6769819394	-183979.2370953598	297.2165006400618	17.4	3:48
55.0%	27500	-226593.2666958622	-184190.9071895178	296.39809331861204	17.4	3:42
56.0%	28000	-226789.74125663575	-183853.88677281924	300.1272936734681	17.4	3:37
57.0%	28500	-226426.98451327762	-183081.51553689755	302.9905530770714	17.5	3:32
58.0%	29000	-226494.6513939348	-183537.92897661275	300.2731632848424	17.5	3:27
59.0%	29500	-225598.3972209584	-183427.1745944805	294.78241600051877	17.5	3:22
60.0%	30000	-226256.40900687577	-183491.20811633082	298.93440251711405	17.5	3:17
61.0%	30500	-226996.70347523398	-184625.9314395079	296.17729272701706	17.5	3:12
62.0%	31000	-227624.71201226194	-184683.8287561948	300.16244545568424	17.5	3:07
63.0%	31500	-227508.03969216792	-184473.94856478024	300.81398078681514	17.5	3:02
64.0%	32000	-226809.19941636737	-184437.1605521537	296.186148025464	17.5	2:57
65.0%	32500	-227437.09475324134	-184581.93507372186	299.5632263335179	17.5	2:52
66.0%	33000	-227134.40878470492	-184993.54765911278	294.57018509927644	17.5	2:47
67.0%	33500	-227289.44539850758	-184403.0895311858	299.78129180654946	17.5	2:42
68.0%	34000	-227278.48253690352	-184412.45967981828	299.6391613794766	17.5	2:37
69.0%	34500	-227138.94566350797	-184308.66122615093	299.38934510535927	17.5	2:32
70.0%	35000	-227022.92831539916	-183404.61353234842	304.8977813023089	17.5	2:27
71.0%	35500	-225974.51646529516	-183082.8628687947	299.81832363321575	17.5	2:22
72.0%	36000	-226303.51611467073	-182801.4856252013	304.0849387317145	17.5	2:17
73.0%	36500	-226460.5018729108	-183645.71723509877	299.2809994593751	17.5	2:12
74.0%	37000	-225707.98808557604	-182339.12339314114	303.1540922223266	17.5	2:08
75.0%	37500	-225524.8821166052	-182220.07623039302	302.7063127061459	17.6	2:03
76.0%	38000	-225952.29910430603	-182614.51527879306	302.93683285748006	17.6	1:58
77.0%	38500	-225966.62992415443	-182725.0789736592	302.2641523509729	17.6	1:53
78.0%	39000	-226560.455595526	-183521.9367886364	300.8449308513274	17.6	1:48
79.0%	39500	-226250.40556620058	-182963.87605707732	302.57855841640844	17.6	1:43
80.0%	40000	-225757.13737178876	-183206.09923288133	297.43737659723035	17.6	1:38
81.0%	40500	-226240.5358095996	-183845.21102385767	296.3489196924771	17.6	1:33
82.0%	41000	-226212.89518063195	-183571.1580294638	298.0713746721708	17.6	1:28
83.0%	41500	-226259.32241561875	-183457.20681269027	299.19244123225315	17.6	1:23
84.0%	42000	-226385.67423744308	-183421.4361934959	300.325698507592	17.6	1:18
85.0%	42500	-227196.0234005807	-183701.5132926437	304.03237027153466	17.6	1:13
86.0%	43000	-226117.6237519276	-183311.1453415281	299.2229378327014	17.6	1:08
87.0%	43500	-225536.02470078826	-182983.4376710659	297.4482035485993	17.6	1:03
88.0%	44000	-226121.38982740938	-183282.551659589	299.44913681104765	17.6	0:58
89.0%	44500	-226015.51426352566	-183445.9253099218	297.5670492420913	17.6	0:54
90.0%	45000	-226905.30413291443	-184069.0424972482	299.4311265109899	17.6	0:49
91.0%	45500	-226626.23254988372	-183605.9947002349	300.7171445457234	17.6	0:44
92.0%	46000	-226500.919249416	-183735.26210984163	298.9375917580897	17.6	0:39
