#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
75.0%	37500	-145970.22667612653	-118341.83848484085	298.85127942803035	22.4	1:36
76.0%	38000	-145636.62110216223	-118152.12124139139	297.29486537407223	22.4	1:32
77.0%	38500	-145291.40312816395	-117671.45233500254	298.76001361813127	22.4	1:28
78.0%	39000	-145030.41063162524	-117549.27832023907	297.25843920128295	22.4	1:24
79.0%	39500	-145429.56237332427	-117361.52664246187	303.606867368601	22.4	1:20
80.0%	40000	-145537.22042176247	-117725.78988746642	300.8312153555052	22.4	1:17
81.0%	40500	-145703.28861492765	-117923.67433577767	300.4870646764579	22.4	1:13
82.0%	41000	-146516.66076362698	-118553.91125988452	302.4680052872123	22.4	1:09
83.0%	41500	-145763.06964074852	-118037.94820380778	299.8976254554238	22.4	1:05
84.0%	42000	-145111.51714776782	-117781.46317780424	295.62425209940034	22.4	1:01
85.0%	42500	-145290.3765561518	-117608.19838708536	299.43311589163034	22.4	0:57
86.0%	43000	-145044.82794551138	-117119.99282430073	302.0578922668687	22.4	0:53
87.0%	43500	-145729.28727611675	-117947.39293892689	300.51172765200596	22.4	0:50
88.0%	44000	-145675.81796275594	-118084.05647115386	298.45509504022283	22.4	0:46
89.0%	44500	-145329.6033138064	-117160.42100722152	304.7009515893362	22.4	0:42
90.0%	45000	-145133.45299850617	-117371.58816710881	300.2950721094908	22.4	0:38
91.0%	45500	-145516.8613193142	-117761.57022444563	300.2239651900914	22.4	0:34
92.0%	46000	-145747.2481261017	-118213.12762749354	297.83160284138495	22.4	0:30
93.0%	46500	-145944.2325244526	-118569.04001321924	296.11250753857354	22.4	0:26
94.0%	47000	-145961.22693616393	-118203.68668656837	300.2482938900916	22.4	0:23
95.0%	47500	-145589.16710117244	-118026.99437646719	298.13503869880356	22.4	0:19
96.0%	48000	-145765.7533820998	-117489.11001353787	305.86333846613064	22.4	0:15
97.0%	48500	-145290.14641941627	-118021.17706448282	294.96351086365644	22.4	0:11
98.0%	49000	-146042.6238756926	-118546.99395353503	297.4152572356065	22.4	0:07
99.0%	49500	-145921.72419366922	-118284.039986518	298.9518327507853	22.4	0:03
100.0%	50000	-146221.44587925586	-117946.18552818237	305.848378616029	22.4	0:00
