#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
75.0%	37500	-87310.50883223112	-70398.70284365799	301.96263715148325	34.7	1:02
76.0%	38000	-87063.08886197797	-70025.56643713632	304.2073215249071	34.7	0:59
77.0%	38500	-87544.74003288141	-70578.67394003164	302.93145882496736	34.7	0:57
78.0%	39000	-87375.51138620975	-70695.97001867458	297.8155201887532	34.7	0:54
79.0%	39500	-87425.56994840271	-70274.915943756	306.2273015439621	34.7	0:52
80.0%	40000	-87559.47984749904	-70432.49672677366	305.80465463461235	34.7	0:49
81.0%	40500	-87206.75819485546	-70014.26141865167	306.97441002271574	34.7	0:47
82.0%	41000	-87353.55241427643	-70410.8706353502	302.5139286626002	34.7	0:44
83.0%	41500	-87240.44088401749	-70358.58861008318	301.4278094298942	34.7	0:42
84.0%	42000	-87759.4913545544	-70565.8858252764	306.9942069623487	34.7	0:39
85.0%	42500	-87712.81457309451	-70814.66209512323	301.7188518295315	34.7	0:37
86.0%	43000	-87703.43853141821	-71037.28050809463	297.57655872510065	34.7	0:34
87.0%	43500	-87787.1801861954	-70938.2141707201	300.8406207324226	34.7	0:32
88.0%	44000	-87781.37914559967	-71131.75099597377	297.2814155418767	34.7	0:29
89.0%	44500	-87627.61815434904	-70990.28995968378	297.0617981432811	34.7	0:27
90.0%	45000	-87734.7844158324	-70896.88656151148	300.64299718276425	34.7	0:24
91.0%	45500	-87818.0121961252	-70890.73595058461	302.2388607312985	34.7	0:22
92.0%	46000	-88037.57042615784	-71617.5087344982	293.18247465431824	34.7	0:19
93.0%	46500	-87696.78902860878	-71036.27014739151	297.47587106212444	34.7	0:17
94.0%	47000	-87486.73353701124	-71080.02753478388	292.9440069705788	34.7	0:14
95.0%	47500	-87834.71120759814	-71235.63750145573	296.3787589548561	34.7	0:12
96.0%	48000	-87835.2495484702	-70719.03878111205	305.61231277394455	34.8	0:09
97.0%	48500	-87717.65764421457	-70918.64598203354	299.94867883880517	34.8	0:07
98.0%	49000	-87602.87732488348	-71076.71242717883	295.0769620868978	34.8	0:04
99.0%	49500	-87788.44412545042	-70998.35950627553	299.78928525009445	34.8	0:02
100.0%	50000	-87463.81097261352	-70407.1116513633	304.54972766508064	34.8	0:00
