#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
44.0%	22000	-95632.86908397422	-77589.36886748148	294.01594533715627	29.3	2:45
45.0%	22500	-95933.25820670124	-77451.93412940434	301.1502150066209	29.3	2:42
46.0%	23000	-95596.01516978373	-77137.84921478144	300.7728571139176	29.3	2:39
47.0%	23500	-95752.87160838576	-77361.43275006517	299.6855497636207	29.3	2:36
48.0%	24000	-95961.4748953055	-77706.96788112457	297.4542673007713	29.3	2:33
49.0%	24500	-96155.12750322752	-77403.4034504763	305.5563392867465	29.3	2:30
50.0%	25000	-95778.21367409758	-77266.03509831415	301.6529841163597	29.3	2:27
51.0%	25500	-96376.70465654085	-77950.75430196145	300.2479090661835	29.3	2:24
52.0%	26000	-95993.68795614694	-77453.61888988131	302.1074551905223	29.3	2:21
53.0%	26500	-96217.63991173213	-77793.93438349516	300.2113299805698	29.3	2:18
54.0%	27000	-95766.95235030266	-77625.9600068096	295.6045639277292	29.3	2:15
55.0%	27500	-95904.36918483717	-77387.18540752752	301.7345430733625	29.3	2:12
56.0%	28000	-96440.248491611	-77727.23207081195	304.92560462531003	29.3	2:09
57.0%	28500	-96296.98892385117	-78115.00478326267	296.27251869423674	29.3	2:06
58.0%	29000	-96180.00943831188	-77787.0505320837	299.7103187007533	29.3	2:03
59.0%	29500	-96156.7249465106	-77538.58863318434	303.379548474475	29.3	2:00
60.0%	30000	-95981.74691337274	-77788.59116232925	296.4545582968335	29.3	1:57
61.0%	30500	-96513.88874655536	-78588.18128436219	292.09653127703956	29.3	1:54
62.0%	31000	-95808.09751498234	-77707.79336706616	294.9415562993277	29.3	1:51
63.0%	31500	-95724.70453181	-77017.3047981571	304.83408160809466	29.3	1:49
64.0%	32000	-95728.70308365564	-77005.93811681689	305.0844556212439	29.3	1:46
65.0%	32500	-95807.70778406535	-77050.28925740311	305.64912982683353	29.3	1:43
66.0%	33000	-95265.27113835211	-77033.54966730445	297.08298052581256	29.3	1:40
67.0%	33500	-96031.82440999837	-77167.63134696403	307.38900379101506	29.3	1:37
68.0%	34000	-95920.56708362092	-77319.6146664338	303.09953963986396	29.3	1:34
69.0%	34500	-95543.03520921512	-76894.25167178515	303.8789400813524	29.3	1:31
70.0%	35000	-95655.42803267082	-77299.45061183444	299.1077113209774	29.3	1:28
71.0%	35500	-95581.00002362687	-76943.10057591536	303.7015855830949	29.3	1:25
72.0%	36000	-95237.90021334308	-76865.2550872299	299.37930890818376	29.4	1:22
73.0%	36500	-95762.18789883447	-77122.71589073623	303.7272102026619	29.3	1:19
74.0%	37000	-96050.92061568219	-77455.29764386537	303.0126971813679	29.4	1:16
75.0%	37500	-95757.00555963872	-77519.21815096863	297.1818240075658	29.4	1:13
76.0%	38000	-95674.78752746237	-77430.11582810209	297.29400242145255	29.4	1:10
77.0%	38500	-96149.85555561358	-77798.50599754523	299.0323010385874	29.4	1:07
78.0%	39000	-96340.74811108399	-78192.1829143153	295.7279623586334	29.4	1:04
79.0%	39500	-96162.90649298287	-78028.93115150605	295.49022300404596	29.4	1:01
80.0%	40000	-95858.1267332151	-77542.98719867786	298.4422645062382	29.4	0:58
81.0%	40500	-96391.35003015168	-78050.19579439644	298.86616989485464	29.4	0:55
82.0%	41000	-95643.26590315095	-77477.39440617034	296.0099657480007	29.4	0:52
83.0%	41500	-95743.84145927205	-76846.14905347336	307.9348702145392	29.4	0:50
84.0%	42000	-95765.87167992917	-77616.40654893927	295.7426266425926	29.4	0:47
85.0%	42500	-95700.73381948457	-77520.91773532328	296.23719056209274	29.4	0:44
86.0%	43000	-96302.02278703616	-77347.01715698189	308.8687800218181	29.4	0:41
87.0%	43500	-95705.39218421733	-77225.86188756516	301.1209856383907	29.4	0:38
88.0%	44000	-95657.11411392833	-77061.98058899197	303.00472172286356	29.4	0:35
89.0%	44500	-95511.65717253221	-76803.86256119136	304.8405160767579	29.4	0:32
90.0%	45000	-95815.5023500185	-77162.84607095222	303.9420457858771	29.4	0:29
91.0%	45500	-95757.29809271322	-77396.63654699693	299.18403838546703	29.4	0:26
92.0%	46000	-95873.38085647867	-77399.41450375826	301.03032206340396	29.4	0:23
93.0%	46500	-96095.70530517449	-77633.75315273872	300.83455259452177	29.4	0:20
94.0%	47000	-95704.95255845046	-77438.60130091304	297.6472673487375	29.4	0:17
95.0%	47500	-96577.04086220842	-78088.82270756006	301.2625528925851	29.4	0:14
96.0%	48000	-96202.91165526675	-78518.0405371167	288.17214163446585	29.4	0:11
97.0%	48500	-96101.35977922913	-77884.62119023301	296.8388368631417	29.4	0:08
98.0%	49000	-95631.60327548815	-77213.79009988444	300.1153150384054	29.4	0:05
99.0%	49500	-95983.24547037625	-77548.2875358393	300.39468613851653	29.4	0:02
100.0%	50000	-95641.03014946634	-77371.87061821109	297.6930277190651	29.4	0:00
