#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
1.0%	500	-108440.5175002215	-96978.78359343928	186.76711776383658	0	--
2.0%	1000	-103448.98248118315	-87843.72791795427	254.2851230406424	29.6	4:45
3.0%	1500	-99970.46105181651	-83400.23064970673	270.0092497395602	29.4	4:44
4.0%	2000	-98698.41205114263	-81148.08120503387	285.97982945581305	29.3	4:42
5.0%	2500	-97539.87736160394	-79561.9617057	292.94725542945145	29.3	4:40
6.0%	3000	-97098.91125776868	-79118.7797311366	292.983362687969	29.2	4:38
7.0%	3500	-96482.06940342435	-78117.32822597219	299.25051533101873	29.1	4:35
8.0%	4000	-96294.57552796675	-77827.6079426205	300.9162782702919	29.1	4:33
9.0%	4500	-95827.90049659502	-77216.93212232724	303.26274805586905	29.1	4:30
10.0%	5000	-96026.15346692804	-77088.9527782248	308.5786513549749	29.1	4:27
11.0%	5500	-96274.28263670119	-77707.7839814479	302.5381211088777	29	4:24
12.0%	6000	-96505.52218447112	-78237.18594242953	297.6796123532251	29.1	4:21
13.0%	6500	-96210.01298442736	-77962.18493851551	297.3454345828425	29.1	4:17
14.0%	7000	-96148.0770850293	-77964.38534732285	296.3003437157053	29.2	4:14
15.0%	7500	-96063.64385320047	-77790.98954300562	297.74997458199886	29.2	4:11
16.0%	8000	-95747.95321883207	-77436.9118508712	298.3754855384304	29.3	4:08
17.0%	8500	-95610.69027878808	-77057.24244566888	302.32546005303254	29.3	4:04
18.0%	9000	-96139.864085736	-77308.74671061356	306.8500407554393	29.3	4:01
19.0%	9500	-95811.55327261722	-77595.6622854799	296.8250253266441	29.4	3:58
20.0%	10000	-96087.09831585993	-77643.4076857019	300.5369840146253	29.4	3:55
21.0%	10500	-96392.8348612303	-78017.82351859186	299.41786602737915	29.4	3:52
22.0%	11000	-95805.96472202415	-77355.68298065974	300.64438511579255	29.4	3:49
23.0%	11500	-96331.76147389167	-77704.37670494491	303.53025057714615	29.3	3:46
24.0%	12000	-95879.845868086	-77486.83941287886	299.7110935037476	29.3	3:43
25.0%	12500	-95745.83573743432	-77399.47557046448	298.95099970997126	29.3	3:40
26.0%	13000	-95597.20540134667	-77447.93017613243	295.7395321584024	29.3	3:38
27.0%	13500	-96131.58152499761	-77870.26839965461	297.56517179177234	29.3	3:35
28.0%	14000	-96090.9748073558	-77753.13935082109	298.812090919147	29.3	3:32
29.0%	14500	-95843.04896952731	-77371.39207685305	300.992689781943	29.3	3:29
30.0%	15000	-95585.18382315041	-77266.31234038546	298.50307600472553	29.3	3:26
31.0%	15500	-96293.75474079108	-78076.45382350934	296.847999912467	29.3	3:23
32.0%	16000	-96307.4871641453	-77772.42289912995	302.02590275595213	29.3	3:20
33.0%	16500	-96116.43653468668	-77564.4097237512	302.3023047242059	29.3	3:17
34.0%	17000	-96218.07786345178	-77630.76704632444	302.8772519523662	29.3	3:14
35.0%	17500	-96012.62725698685	-78236.86108865199	289.65326191522627	29.3	3:11
36.0%	18000	-96300.34156655759	-77843.13861840809	300.75716507153174	29.3	3:08
37.0%	18500	-95733.9875589275	-77222.69288323051	301.63858110605787	29.3	3:05
38.0%	19000	-96034.4200474887	-77620.51115547254	300.0516953628389	29.3	3:02
39.0%	19500	-95949.24554810107	-77771.03203408858	296.2110769382605	29.3	2:59
40.0%	20000	-96214.13567580665	-77931.9855963982	297.9047066200481	29.3	2:56
41.0%	20500	-96195.23596465039	-77739.01515770696	300.7411612379244	29.3	2:53
42.0%	21000	-95741.85535724534	-77445.62822400805	298.1340899569498	29.3	2:50
43.0%	21500	-95984.69559942893	-77593.44302590494	299.6825142827043	29.3	2:48
