#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
1.0%	500	-171987.61717361605	-153673.68113800386	189.55745325663264	0	--
2.0%	1000	-163239.73265906915	-139038.70096551187	250.49153415700542	25	5:39
3.0%	1500	-158104.90060945868	-132011.76794443766	270.07562797264615	24.8	5:38
4.0%	2000	-155867.88932395788	-128080.1740270533	287.61531837061074	24.6	5:36
5.0%	2500	-153547.11327171628	-125490.22403673698	290.40138937606173	24.6	5:33
6.0%	3000	-152982.2910828373	-124307.84171508325	296.7934137761675	24.5	5:30
7.0%	3500	-152539.7443664382	-123449.4948056562	301.0971322941709	24.5	5:27
8.0%	4000	-152163.51230295212	-123161.92796431911	300.179407471374	24.5	5:24
9.0%	4500	-151796.70167100622	-123012.36565270567	297.9307899024132	24.4	5:21
10.0%	5000	-151811.60592292305	-123035.58791601466	297.84469475320054	24.4	5:18
11.0%	5500	-151125.8486602109	-122299.25967502545	298.36812706356017	24.4	5:15
12.0%	6000	-151981.2027975251	-123200.4329619123	297.89387831187236	24.3	5:12
13.0%	6500	-152597.72423198525	-123627.1272433871	299.85867449816953	24.3	5:09
14.0%	7000	-151940.27443925355	-123143.4820053307	298.05971939181825	24.3	5:06
15.0%	7500	-152611.88122647212	-123702.09237723864	299.22928297835483	24.2	5:02
16.0%	8000	-152315.37382156443	-123442.58116799814	298.8463557574004	24.2	4:59
17.0%	8500	-151967.38879464287	-122569.27109669003	304.2837056177584	24.2	4:56
18.0%	9000	-152228.86724006536	-123034.70774475185	302.1726467286188	24.2	4:53
19.0%	9500	-152037.46890966687	-123473.0315241236	295.65474041097525	24.2	4:49
20.0%	10000	-152574.27078440695	-123873.99977639028	297.060679335989	24.2	4:46
21.0%	10500	-152620.2011248677	-123545.24183446755	300.9388711367903	24.2	4:42
22.0%	11000	-152405.27023304164	-123718.83310037712	296.9174925204773	24.1	4:39
23.0%	11500	-152787.6542606301	-123373.18139492617	304.4529889406036	24.1	4:35
24.0%	12000	-152437.6598934751	-123231.73038516151	302.2944716429766	24.1	4:32
25.0%	12500	-152723.4491010049	-123250.30759776453	305.0602356567555	24.1	4:28
26.0%	13000	-152055.02987040562	-122790.13859182285	302.9047524144064	24.1	4:24
27.0%	13500	-152428.0447128052	-123434.88435280819	300.09221551365255	24.1	4:21
28.0%	14000	-151643.7174864074	-123100.54861163479	295.4346017838441	24.1	4:17
29.0%	14500	-153012.8055578742	-124091.79507059057	299.34543196599043	24.1	4:14
30.0%	15000	-152698.00323334933	-123827.16870956108	298.8260882358173	24.1	4:10
31.0%	15500	-151968.14079154166	-123480.43242376164	294.8605606579279	24.1	4:06
32.0%	16000	-152003.52906657077	-122988.4412171835	300.31917486510224	24.1	4:03
33.0%	16500	-152219.5192097673	-123268.96699775274	299.6512020688189	24.2	3:59
34.0%	17000	-152158.66936511718	-123265.79956938449	299.0541631850518	24.1	3:56
35.0%	17500	-151979.89029488154	-123217.83300930474	297.700195024901	24.1	3:52
36.0%	18000	-152163.8348066822	-123063.08999114223	301.20576288889026	24.1	3:49
37.0%	18500	-152389.66834318516	-122914.35844926597	305.0826794729808	24.1	3:45
38.0%	19000	-151890.57597381857	-122688.59154796299	302.2536382698463	24.1	3:41
39.0%	19500	-151696.91111178693	-123022.75329912933	296.79039605013327	24.1	3:38
40.0%	20000	-151631.79198360935	-122656.17803171414	299.91060231880965	24.1	3:34
41.0%	20500	-152034.88403535742	-122996.4310775029	300.5610142188874	24.1	3:31
42.0%	21000	-152030.00152365543	-122868.77715602804	301.8317533829873	24.1	3:27
43.0%	21500	-151819.1053887062	-122516.94980219705	303.2904547175137	24.1	3:24
44.0%	22000	-151965.81349166972	-122939.72227595706	300.4330646424736	24.1	3:20
45.0%	22500	-152339.29738780353	-123469.31878933583	298.8172290247977	24.1	3:17
46.0%	23000	-152791.56000586235	-123802.2538725355	300.05232253868286	24.1	3:13
47.0%	23500	-152975.91537908505	-123807.16074518338	301.90969501686214	24.1	3:09
48.0%	24000	-152796.49294329283	-123632.62958083842	301.8590681632506	24.1	3:06
49.0%	24500	-152338.61674056816	-123530.94309260257	298.1723448382693	24.1	3:02
50.0%	25000	-151647.6699631529	-122754.46587528236	299.0576232586359	24.1	2:59
51.0%	25500	-152169.40612338632	-122660.56320388631	305.42976133002816	24.1	2:55
52.0%	26000	-152417.5245272746	-123328.5734959736	301.08369193154664	24.1	2:52
53.0%	26500	-152651.04669486397	-124024.96869173562	296.292748453805	24.1	2:48
54.0%	27000	-152848.73441426002	-124182.78897838315	296.70539426653454	24.1	2:44
55.0%	27500	-152812.01101524953	-124241.72115686568	295.71531613018476	24.1	2:41
56.0%	28000	-153266.69624723404	-124249.18990390787	300.34420736226076	24.1	2:37
57.0%	28500	-152005.59261282918	-123359.29981940056	296.5019806013883	24.1	2:34
58.0%	29000	-152373.57052420426	-123762.80190963903	296.1342894146724	24.1	2:30
59.0%	29500	-152423.15700740722	-123570.26088340688	298.64041775118307	24.1	2:27
60.0%	30000	-151546.25766668082	-122621.11833282941	299.38816738008984	24.1	2:23
61.0%	30500	-151647.14220074267	-122390.60156150596	302.8183195512346	24.1	2:19
62.0%	31000	-151938.05095044652	-123335.94461563184	296.04463093351796	24.1	2:16
63.0%	31500	-152397.4776141852	-123687.90784402163	297.1569256954595	24.1	2:12
64.0%	32000	-152290.3651572367	-123298.17676761397	300.08215518427124	24.1	2:09
65.0%	32500	-152128.84118449123	-123257.09084780811	298.83556731009577	24.1	2:05
66.0%	33000	-151763.377279871	-122873.3742822579	299.0244905385223	24.1	2:01
67.0%	33500	-152927.6421334247	-124258.85147892844	296.7348435555568	24.1	1:58
68.0%	34000	-152615.42866309255	-123862.52005172709	297.60550214289015	24.1	1:54
69.0%	34500	-152116.79081849672	-123074.24806328733	300.6033454561167	24.1	1:51
70.0%	35000	-152206.9721863868	-123474.01474013494	297.39899863424586	24.1	1:47
71.0%	35500	-152182.1682166334	-123334.15935373459	298.58983240644864	24.1	1:44
72.0%	36000	-152122.21680371667	-123233.26919786516	299.0135667603609	24.1	1:40
73.0%	36500	-151829.89854373422	-122847.56415911493	299.98016181216383	24.1	1:36
74.0%	37000	-152140.62020916372	-123285.89763625435	298.6593223167022	24.1	1:33
75.0%	37500	-152075.52645600645	-123194.52702910945	298.9312995427778	24.1	1:29
76.0%	38000	-152329.7423935769	-123156.61332509702	301.95497237703586	24.1	1:26
77.0%	38500	-152124.20302236616	-123254.67171334577	298.8125993783723	24.1	1:22
78.0%	39000	-152235.28809814557	-123529.5345703694	297.11742587485526	24.1	1:18
79.0%	39500	-151724.95373979278	-122807.1791364635	299.3119391155059	24.1	1:15
80.0%	40000	-152050.93945124556	-123017.63717764296	300.50770232637973	24.1	1:11
81.0%	40500	-152274.88624947186	-123230.63911024746	300.62098659522667	24.1	1:08
82.0%	41000	-152455.16782791173	-123471.6634380791	299.99227189096445	24.1	1:04
83.0%	41500	-152034.154558801	-122823.4503923552	302.3438914964671	24.1	1:00
84.0%	42000	-152064.90365697438	-122612.85536466497	304.84191146160146	24.1	0:57
85.0%	42500	-152271.73033363008	-123430.95879609877	298.5149228423667	24.1	0:53
86.0%	43000	-153010.31917645867	-124125.58383065107	298.9699679793655	24.1	0:50
87.0%	43500	-152377.07985663554	-123381.71960250818	300.11498540473315	24.1	0:46
88.0%	44000	-152327.58071783534	-123149.24985348599	302.00881329771306	24.1	0:43
89.0%	44500	-152068.49250531246	-122715.75712084098	303.81397831557206	24.1	0:39
90.0%	45000	-152391.73657204933	-123220.8093215715	301.9321825730204	24.1	0:35
91.0%	45500	-152532.51793309062	-123517.03036343312	300.32331214920623	24.1	0:32
92.0%	46000	-151947.53560869404	-122731.9476280608	302.3944411640944	24.1	0:28
93.0%	46500	-152010.96708860502	-123391.15667733608	296.22787606653606	24.1	0:25
94.0%	47000	-152305.0837308117	-123432.36884813134	298.84555079384427	24.1	0:21
95.0%	47500	-152605.71488687018	-123611.312979469	300.1050660862207	24.1	0:17
96.0%	48000	-152875.91548029924	-123874.78320220773	300.1747284419836	24.1	0:14
97.0%	48500	-151997.78246363986	-123299.56055938883	297.03947019282515	24.1	0:10
98.0%	49000	-151544.68393860536	-122889.12430227194	296.597896582385	24.1	0:07
99.0%	49500	-152015.92641695938	-122842.79507429624	301.9549959158528	24.1	0:03
100.0%	50000	-152617.64647169472	-123025.44815390452	306.2925270939993	24.1	0:00
