#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
1.0%	500	-161253.08132650994	-144445.83298845822	185.4536645769652	0	--
2.0%	1000	-153784.40123767641	-131095.23752242245	250.3555890022815	27	5:13
3.0%	1500	-149177.76086794707	-124669.11544428338	270.43201934164904	24.8	5:37
4.0%	2000	-146168.11112456658	-120709.14700417206	280.9179764287307	24.2	5:42
5.0%	2500	-145042.55961182542	-118630.13379119235	291.43861388148355	23.8	5:44
6.0%	3000	-143902.24508700403	-117288.99587935158	293.6545288430767	23.7	5:42
7.0%	3500	-143084.02896360814	-116500.31081547789	293.3286787635707	23.7	5:38
8.0%	4000	-142593.02496937034	-115552.79649315485	298.3658812584589	23.7	5:35
9.0%	4500	-142665.81491198714	-115338.85412960906	301.52972794299126	23.8	5:30
10.0%	5000	-143079.2419504565	-115462.134511375	304.7312490764999	23.8	5:26
11.0%	5500	-142595.3481229008	-115483.87109066414	299.1520483658983	23.8	5:22
12.0%	6000	-143072.79251340637	-116159.02466614639	296.9704959703502	23.8	5:18
13.0%	6500	-142650.39082674382	-115387.30447431863	300.8249280334956	23.9	5:14
14.0%	7000	-142429.5643283274	-115247.36348367577	299.9324253747579	23.9	5:11
15.0%	7500	-142041.6158715033	-114861.06659992965	299.9142016730868	23.9	5:07
16.0%	8000	-142611.94055039226	-114853.50659672193	306.2906667459023	23.9	5:04
17.0%	8500	-142678.52256542072	-115290.23909179703	302.2063715900939	23.9	5:00
18.0%	9000	-142725.2474128611	-115770.56434095539	297.4219606119691	23.9	4:56
19.0%	9500	-142392.06419615663	-115261.96978297459	299.35747530145034	23.9	4:52
20.0%	10000	-142489.791119104	-115123.82472324398	301.9601216525266	23.9	4:49
21.0%	10500	-142304.22961423066	-115050.53862510441	300.7212582049327	23.9	4:45
22.0%	11000	-142477.3266856671	-114798.28604966843	305.4146291334991	23.9	4:41
23.0%	11500	-143250.6723490151	-116146.55366959609	299.0708552123353	23.9	4:38
24.0%	12000	-143172.40015366246	-115860.2294580981	301.36653193708673	23.9	4:34
25.0%	12500	-142967.17530045944	-115888.13286043752	298.7941602771228	23.9	4:31
26.0%	13000	-143147.09181846734	-115832.04694142703	301.39824608069017	23.9	4:27
27.0%	13500	-143155.741245425	-115988.42247075879	299.76821441292907	23.9	4:24
28.0%	14000	-142480.69851575454	-115706.56308840278	295.4297711922732	23.9	4:20
29.0%	14500	-142463.81005052032	-115446.18329377226	298.11649054222323	23.9	4:17
30.0%	15000	-142713.13177622887	-115680.73808055438	298.279431130915	23.8	4:13
31.0%	15500	-142382.97635167555	-115083.96668280242	301.2213112215721	23.8	4:10
32.0%	16000	-142375.21256245495	-115381.39873496273	297.8537351579997	23.8	4:06
