#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
33.0%	16500	-142642.78085818235	-114978.12350259812	305.25592188958603	23.8	4:03
34.0%	17000	-142497.7952752231	-115072.41974340346	302.615650847518	23.8	3:59
35.0%	17500	-143234.68692959344	-116365.08620834236	296.4831493680133	23.8	3:55
36.0%	18000	-143011.19525630344	-116055.05553858393	297.4380334573705	23.8	3:52
37.0%	18500	-143712.2237720212	-116294.49057044672	302.5313242450092	23.8	3:48
38.0%	19000	-142699.32315066236	-115724.59849293598	297.6431024348077	23.8	3:45
39.0%	19500	-142962.92691230954	-115565.50635112288	302.3071915659776	23.8	3:41
40.0%	20000	-142894.8998362429	-115732.07485725573	299.7186292066076	23.8	3:37
41.0%	20500	-142986.23593811868	-116002.70789796063	297.74024025890526	23.8	3:34
42.0%	21000	-142411.0751474184	-115619.58863071851	295.62122567900946	23.8	3:30
43.0%	21500	-142590.85765852963	-115304.82992740201	301.0780665999783	23.8	3:26
44.0%	22000	-142466.6791725129	-115936.52123036064	292.73768752727017	23.8	3:23
45.0%	22500	-142637.49365253307	-115575.69222214333	298.60392042625693	23.8	3:19
46.0%	23000	-142723.73285388885	-115822.56263032863	296.83149192679167	23.8	3:16
47.0%	23500	-143162.27143934453	-116058.67404187896	299.0651033101442	23.8	3:12
48.0%	24000	-143073.1184137001	-116148.21886856986	297.09332477144136	23.8	3:08
49.0%	24500	-143009.53943805856	-116004.75561062334	297.9747797602403	23.8	3:05
50.0%	25000	-143272.30187268715	-116212.86601970802	298.5778182951517	23.8	3:01
51.0%	25500	-142484.8733215607	-115450.40501748805	298.3023226668918	23.8	2:58
52.0%	26000	-142789.32958397712	-115348.35460847079	302.78777741689277	23.8	2:54
53.0%	26500	-142711.98912662416	-115563.30895900395	299.56255326544306	23.8	2:50
54.0%	27000	-142643.90940488427	-115257.79241136962	302.18246632806813	23.8	2:47
55.0%	27500	-142822.9939237529	-115512.11243209647	301.3523066704453	23.8	2:43
56.0%	28000	-142850.045959606	-115800.13568630142	298.47271163983646	23.8	2:40
57.0%	28500	-142733.29398133914	-115202.41597303381	303.7797807807874	23.7	2:36
58.0%	29000	-142717.4170894801	-115370.26443812896	301.7525280123657	23.7	2:32
59.0%	29500	-142684.03664880668	-115330.34519233761	301.8246781553685	23.7	2:29
60.0%	30000	-142935.794854318	-115689.7563646576	300.6368193937381	23.7	2:25
61.0%	30500	-142833.39578053393	-115469.75413224264	301.9344700439369	23.7	2:21
62.0%	31000	-142908.3716480533	-115811.15325408493	298.9947164418649	23.7	2:18
63.0%	31500	-142864.4837857465	-115488.8547321538	302.0667408474143	23.7	2:14
64.0%	32000	-142651.03454692895	-115672.74612959636	297.6824254855148	23.7	2:11
65.0%	32500	-142615.1130430774	-115557.51532148499	298.557536081503	23.7	2:07
66.0%	33000	-142783.78700246353	-115676.95263957855	299.1008204654492	23.7	2:03
67.0%	33500	-142790.86035116832	-115945.62454809551	296.2143032563597	23.7	2:00
68.0%	34000	-142612.81259587355	-115478.25648546734	299.40670632867216	23.7	1:56
69.0%	34500	-142782.85868725527	-115256.00210665306	303.7354077525929	23.7	1:52
70.0%	35000	-142790.25722782803	-115754.47099652959	298.31686487087154	23.7	1:49
71.0%	35500	-142382.98244002688	-115471.05818481333	296.9501535029742	23.7	1:45
72.0%	36000	-142789.41302140628	-115686.42356852852	299.0583951596247	23.7	1:42
73.0%	36500	-142916.87621705196	-116132.85675972392	295.5388330412459	23.7	1:38
74.0%	37000	-143008.3396650141	-116344.77387492453	294.20972945737503	23.7	1:34
75.0%	37500	-143603.14187237222	-116819.08662114541	295.53922799642	23.7	1:31
76.0%	38000	-143472.23280826738	-116255.36512423915	300.3149444089497	23.7	1:27
77.0%	38500	-143176.0816900135	-115989.65913490439	299.97900835249334	23.7	1:23
78.0%	39000	-143054.42115331607	-115951.67765326827	299.0556812797134	23.7	1:20
79.0%	39500	-143213.64707770603	-116378.58792479413	296.10201259298054	23.7	1:16
80.0%	40000	-143566.10395981968	-116316.30770618445	300.678283117349	23.7	1:12
81.0%	40500	-143273.64390166514	-116257.80236681095	298.09679213974596	23.7	1:09
82.0%	41000	-142490.67857528236	-115261.23212881516	300.4537403345665	23.7	1:05
83.0%	41500	-142453.4258525235	-114955.39695199764	303.41731886594835	23.7	1:02
84.0%	42000	-142268.34284563837	-114656.39638663843	304.6743020587799	23.7	0:58
85.0%	42500	-142340.75444811705	-114955.82960938831	302.1693119157964	23.7	0:54
86.0%	43000	-142543.59190090463	-115159.50578621814	302.1600573106359	23.7	0:51
87.0%	43500	-142879.70553797222	-115707.18904242206	299.82556683409814	23.7	0:47
88.0%	44000	-142936.7576012206	-115138.35066595499	306.73173453831	23.7	0:43
89.0%	44500	-142578.06074128172	-115110.89104267751	303.0768138667251	23.7	0:40
90.0%	45000	-142127.22292952263	-114835.14827078939	301.1447892937435	23.7	0:36
91.0%	45500	-142889.4745037199	-115585.21620671362	301.27922536085964	23.7	0:32
92.0%	46000	-142527.90518984525	-114989.70458479563	303.8605793965472	23.7	0:29
93.0%	46500	-142532.12999499124	-115873.9577537218	294.1502162417881	23.7	0:25
94.0%	47000	-142954.08398752104	-115920.59767924823	298.29148717996287	23.7	0:21
95.0%	47500	-143681.07922991773	-116659.19553148578	298.16346226652274	23.7	0:18
96.0%	48000	-143477.62380717223	-116775.56244870943	294.6344952537266	23.7	0:14
97.0%	48500	-143112.75760453774	-116289.36272039972	295.97330732575193	23.7	0:10
98.0%	49000	-142995.84688401126	-115688.85159940919	301.30942568689386	23.7	0:07
99.0%	49500	-142676.02066363036	-115463.5976113793	300.26590168439475	23.7	0:03
100.0%	50000	-142916.35856377732	-115740.39493519464	299.86360300993795	23.7	0:00
